    time              1001000 ps, key 11
    time              1801000 ps, key 12
    time              2601000 ps, key 13
    time              3401000 ps, key 14
    time              3900000 ps, X = 1234
    time              4201000 ps, key 0c
    time              4700000 ps, X = 0000
    time              5001000 ps, key 11
    time              5801000 ps, key 12
    time              6300000 ps, X = 0012
    time              6601000 ps, key 02
    time              7100000 ps, X = ffee
    time              7401000 ps, key 02
    time              7900000 ps, X = 0012
    time              8201000 ps, key 0b
    time              9001000 ps, key 15
    time              9500000 ps, X = 0005
    time              9801000 ps, key 03
    time             10300000 ps, X = 0017
    time             10601000 ps, key 0b
    time             11401000 ps, key 11
    time             12201000 ps, key 11
    time             13001000 ps, key 11
    time             13801000 ps, key 11
    time             14300000 ps, X = 1111
    time             14601000 ps, key 03
    time             15100000 ps, X = 1128
    time             15401000 ps, key 02
    time             15900000 ps, X = eed8
    time             16201000 ps, key 04
    time             16700000 ps, X = 0000
    time             17001000 ps, key 15
    time             17801000 ps, key 1d
    time             18601000 ps, key 1e
    time             19100000 ps, X = 05de
    time             19401000 ps, key 0a
    time             20201000 ps, key 1f
    time             21001000 ps, key 1e
    time             21500000 ps, X = 00fe
    time             21801000 ps, key 03
    time             22300000 ps, X = 04e0
    time             22601000 ps, key 04
    time             23100000 ps, X = 0000
    time             23401000 ps, key 15
    time             24201000 ps, key 11
    time             25001000 ps, key 12
    time             25500000 ps, X = 0512
    time             25801000 ps, key 09
    time             26601000 ps, key 12
    time             27401000 ps, key 13
    time             27900000 ps, X = 0023
    time             28201000 ps, key 03
    time             28700000 ps, X = b176
    time             29001000 ps, key 04
    time             29500000 ps, X = 0000
    time             29801000 ps, key 11
    time             30601000 ps, key 12
    time             31100000 ps, X = 0012
    time             31401000 ps, key 01
    time             31900000 ps, X = 0144
    time             32201000 ps, key 0c
    time             32700000 ps, X = 0000
    time             33001000 ps, key 11
    time             33801000 ps, key 12
    time             34300000 ps, X = 0012
    time             34601000 ps, key 02
    time             35100000 ps, X = ffee
    time             35401000 ps, key 01
    time             35900000 ps, X = 0144
    time             36201000 ps, key 04
    time             36700000 ps, X = 0000
    time             37001000 ps, key 1f
    time             37801000 ps, key 1f
    time             38601000 ps, key 1f
    time             39401000 ps, key 1f
    time             39900000 ps, X = ffff
    time             40201000 ps, key 0b
    time             41001000 ps, key 1f
    time             41801000 ps, key 1f
    time             42601000 ps, key 1f
    time             43401000 ps, key 1f
    time             43900000 ps, X = ffff
    time             44201000 ps, key 03
    time             44700000 ps, X = fffe
    time             45001000 ps, key 04
    time             45500000 ps, X = 0000
    time             45801000 ps, key 15
    time             46300000 ps, X = 0005
    time             46601000 ps, key 0a
    time             47401000 ps, key 16
    time             47900000 ps, X = 0006
    time             48201000 ps, key 03
    time             48700000 ps, X = ffff
    time             49001000 ps, key 04
    time             49500000 ps, X = 0000
    time             49801000 ps, key 1f
    time             50601000 ps, key 1f
    time             51401000 ps, key 1f
    time             52201000 ps, key 1f
    time             52700000 ps, X = ffff
    time             53001000 ps, key 09
    time             53801000 ps, key 1f
    time             54601000 ps, key 1f
    time             55401000 ps, key 1f
    time             56201000 ps, key 1f
    time             56700000 ps, X = ffff
    time             57001000 ps, key 03
    time             57500000 ps, X = 0001
    time             57801000 ps, key 04
    time             58300000 ps, X = 0000
